Название аптеки,Адрес,Телефон,Цена
Добрыя Леки Аптека N3 ОДО Амадей,"Гомель, ул. Рогачевская, 5",моб. 5355757,42.64 р.
Добрыя леки Аптека N5 ОДО Амадей,"Гомель, ул. Ильича, 32",(044) 5355757,42.64 р.
Добрыя леки Аптека N7 ОДО Амадей,"Гомель, ул. Владимирова, 16",моб. 5355757,42.64 р.
Добрыя леки Аптека N9 ОДО Амадей,"Гомель, пл. Привокзальная, 1",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N6 ОДО Амадей,"Гомель, ул. Ильича, 78, Новобелицкий рынок",моб. 5355757,42.64 р.
ADEL Аптека N1 2-й категории ЗАО Аптека групп Север,"Витебск, ул. Ленина, 6",(044) 5034264,42.64 р.
ADEL Аптека N11 ООО Аптека групп Центр,"Минск-Фрунзенский, м. Пушкинская, выход на гостиницу Орбиту",(044) 5034264,42.64 р.
ADEL Аптека N2 ЗАО Аптека групп Север,"Витебск, ул. Ленина, 48-53",(044) 5034264,42.64 р.
ADEL Аптека N43 ЗАО Аптека групп Север,"Полоцк, ш. Вильнюсское, 1/2, ТЦ Манеж",(044) 5034264,42.64 р.
ADEL Аптека N9 ЗАО Аптека групп Север,"Витебск, пр-т Фрунзе, 15-2",(044) 5034264,42.64 р.
Добрыя Леки Аптека N10 ООО Аптека групп Центр,"Минск-Заводской, м. Партизанская, подземный переход, выход к ул. Долгобродская",моб. 5355757,42.64 р.
Добрыя Леки Аптека N100 ООО Аптека групп Центр,"Молодечно, ул. Виленская, 12",моб. 5355757,42.64 р.
Добрыя Леки Аптека N104 ООО Аптека групп Центр,"Молодечно, ул. Космонавтов, 8Б, пом. 3, маг. Маяк",моб. 5355757,42.64 р.
Добрыя леки Аптека N13 ООО Аптека групп Центр,"Минск-Фрунзенский, м. Каменная Горка, подземный переход",моб. 5355757,42.64 р.
Добрыя леки Аптека N15 ЗАО Аптека групп Север,"Витебск, пр-т Фрунзе, 40",моб. 5355757,42.64 р.
Добрыя леки Аптека N15 ООО Аптека групп Центр,"Минск-Фрунзенский, м. Кунцевщина, подземный переход",моб. 5355757,42.64 р.
Добрыя Леки Аптека N16 ООО Аптека групп Центр,"Минск-Первомайский, м. Уручье, подземный переход, выход к ул. Руссиянова",моб. 5355757,42.64 р.
Добрыя леки Аптека N2 2-й категории ЗАО Аптека групп Север,"Витебск, пр-т Фрунзе, 118А",моб. 5355757,42.64 р.
Добрыя Леки Аптека N20 ЗАО Аптека групп Север,"Витебск, ул. Кирова, 15-16",моб. 5355757,42.64 р.
Добрыя Леки Аптека N23 ООО Аптека групп Центр,"Боровляны, д. Боровляны, ул. Березовая роща, 108-7",моб. 5355757,42.64 р.
Добрыя Леки Аптека N26 ООО Аптека групп Центр,"Минск-Первомайский, пр-т Независимости, 70, угловое здание ул. Сурганова 17",моб. 5355757,42.64 р.
Добрыя леки Аптека N27 ООО Аптека групп Центр,"Минск-Первомайский, ул. Академическая, 1, институт Истории",моб. 5355757,42.64 р.
Добрыя Леки Аптека N33 ЗАО Аптека групп Север,"Бешенковичи, ул. Урицкого, 15",моб. 5355757,42.64 р.
Добрыя Леки Аптека N34 ООО Аптека групп Центр,"Минск-Фрунзенский, пр-т Пушкина, 87А",моб. 5355757,42.64 р.
Добрыя Леки Аптека N35 ЗАО Аптека групп Север,"Полоцк, ул. Хруцкого, 8, пом. 5",моб. 5355757,42.64 р.
Добрыя Леки Аптека N36 ОДО Амадей,"Гомель, ул. Белого, 11, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N38 ООО Аптека групп Центр,"Вилейка, ул. Максима Горького, 31",моб. 5355757,42.64 р.
Добрыя леки Аптека N4 ООО Аптека групп Центр,"Минск-Заводской, м. Автозаводская, выход на сторону маг. Санта",моб. 5355757,42.64 р.
Добрыя Леки Аптека N41 ЗАО Аптека групп Север,"Полоцк, пр-т Зодчего Иоанна, 16, маг. Дионис",(044) 5034264,42.64 р.
Добрыя Леки Аптека N42 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Дунина-Марцинкевича, 2, к. 1, пом. 2Н",моб. 5355757,42.64 р.
Добрыя Леки Аптека N43 ОДО Амадей,"Гомель, ул. Барыкина, 183",моб. 5355757,42.64 р.
Добрыя леки Аптека N43 ООО Аптека групп Центр,"Минск-Центральный, пр-т Победителей, 89, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N44 ОДО Амадей,"Мозырь, ул. Полесская, 28-119, маг. Доброном",моб. 5355757,42.64 р.
Добрыя Леки Аптека N44 ООО Аптека групп Центр,"Минск-Советский, ул. Максима Богдановича, 198",моб. 5355757,42.64 р.
Добрыя леки Аптека N46 ЗАО Аптека групп Север,"Новополоцк, ул. Молодежная, 65-65, маг. Дионис",моб. 5355757,42.64 р.
Добрыя Леки Аптека N49 ЗАО Аптека групп Север,"Новополоцк, ул. Молодежная, 133, маг. Маяк",моб. 5355757,42.64 р.
Добрыя Леки Аптека N5 Либерти-фарм ООО,"Боровляны, ул. 40 лет Победы, 21Д, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N5 ООО Аптека групп Центр,"Минск-Заводской, м. Партизанская, подземный переход, выход к гостинице Турист",моб. 5355757,42.64 р.
Добрыя леки Аптека N50 ЗАО Аптека групп Север,"Новополоцк, ул. Молодежная, 166А",моб. 5355757,42.64 р.
Добрыя Леки Аптека N51 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Неманская, 21-120, маг. Дионис",моб. 5355757,42.64 р.
Добрыя Леки Аптека N52 ЗАО Аптека групп Север,"Полоцк, ул. Космонавтов, 77, ТЦ Мир, 2-й этаж",моб. 5355757,42.64 р.
Добрыя Леки Аптека N6 ЗАО Аптека групп Север,"Витебск, пр-т Московский, 45/2",моб. 5355757,42.64 р.
Добрыя Леки Аптека N6 Либерти-фарм ООО,"Могилев, ул. Фатина, 4, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N7 ООО Аптека групп Центр,"Минск-Ленинский, Игуменский тр-т, 45",моб. 5355757,42.64 р.
Добрыя леки Аптека N8 ООО Аптека групп Центр,"Минск-Заводской, м. Могилевская, выход на сторону ТЦ Момо",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N17 ЗАО Аптека групп Север,"Витебск, ул. Зеленогурская, 12",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N17 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Матусевича, 90",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N19 ЗАО Аптека групп Север,"Витебск, ул. Ленина, 73-14",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N29 ООО Аптека групп Центр,"Минск-Фрунзенский, пр-т Пушкина, 52",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N30 ОДО Амадей,"Мозырь, ул. Интернациональная, 53Б, ТЦ Interplaza, пом. 28",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N39 ЗАО Аптека групп Север,"Полоцк, ул. Зыгина, 81В, маг. Грошык",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N40 ЗАО Аптека групп Север,"Полоцк, ул. Гоголя, 20-2",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N55 ЗАО Аптека групп Север,"Полоцк, ул. Максима Богдановича, 10",моб. 5355757,42.64 р.
Моя Аптека ООО Аптека N19,"Гомель, ул. Ефремова М.Г., 11-8",(0232) 538855,42.66 р.
Моя Аптека ООО Аптека N15,"Барановичи, ул. Кирова, 56А",(0163) 608314,42.66 р.
Моя Аптека ООО Аптека N34,"Береза, ул. Ленина, 104, к. 1",(01643) 45615,42.66 р.
Моя Аптека ООО Аптека N43,"Барановичи, пр-т Машерова, 7",(0163) 629623,42.66 р.
Оффицина ЗАО Аптека N2,"Березовка, ул. Заводская, 7",(0154) 604157,42.66 р.
