Название аптеки,Адрес,Телефон,Время работы,Цена
ADEL Аптека N49 ООО Аптека групп Центр,"Минск-Первомайский, д. Копище, ул. Авиационная, 8-105",(044) 5034264,"09.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Вест ООО Аптека N6,"Марьина Горка, ул. Последовича, 1А",(01713) 45120,"09.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 14.00-14.30;                        
Санитарные часы: второй вторник месяца с 09.00 до 12.00",
Медтехника УП Пункт N3,"Витебск, ул. Максима Горького, 90а",(29) 2320870,"08.00-16.30, пн.–пт.; выходной, сб.; выходной, вс.",
Гродненское РУП Фармация Аптека N40,"Волковыск, аг. Волпа, ул. Мира, 15-2",(01512) 68301,"08.00-12.00, пн.; 09.00-17.30, вт.; выходной, ср.; 09.00-17.30, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Минская Фармация Аптека N146,"Червень, д. Хутор, ул. Мира, 1В",(01714) 57010,"08.00-14.20, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:20; Праздничные дни: выходной;",
Медпростор Салон медтехники и ортопедии N24,"Орша, ул. Островского, 8, пом. 15",(029) 1094500,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Медтехника УП Магазин г.Новолукомль,"Новолукомль, ул. Энергетиков, 15",(02133) 68940,"09.00-18.00, пн.–пт.; 09.00-13.00, сб.; выходной, вс.",
Белфармация Аптека N8 (филиал 4),"Минск-Октябрьский, ул. Чкалова, 12-3, пом. 17,18",(017) 2608177,"08.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: третья пятница каждого месяца с 8:00 до 10:00;",
Добрыя Леки Аптека N28 ООО Аптека групп Запад,"Барановичи, ул. Красноармейская, 10-1",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-19.00, сб.; 08.00-19.00, вс.",
Могилевское РУП Фармация Аптека N134,"Климовичи, ул. Северная, 9",(02244) 72008,"12.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
АльфаАптека Аптека N7 Беллерофон ООО,"Минск-Октябрьский, ул. Левкова, 30-133",(017) 3163968,"09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первое воскресенье месяца с 9.00 до 11.00;",
Добрыя Леки Аптека N15 ОДО Амадей,"Жлобин, ул. Первомайская, 64, пом. 7",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-18.00, вс.",
Моя Аптека ООО Аптека N1,"Минск-Фрунзенский, ул. Лобанка, 22, пом. 3Н",(017) 3501302,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; праздничные дни: 11.00-19.00",
Брестское РУП Фармация Аптека N163,"Иваново, ул. Комарова, 4, в здании поликлиники",(01652) 92157,"08.00-20.00, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Добрыя Леки Аптека N61 ООО Аптека групп Запад,"Слоним, Коссовский тр-т, 100",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Брестское РУП Фармация Аптека N50,"Малорита, аг. Хотислав, ул. Суворова, 1, в здании амбулатории",(01651) 48044,"08.00-17.00, пн.; выходной, вт.; 08.00-17.00, ср.; 08.00-17.00, чт.; 08.00-17.00, пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-14:00; Праздничные дни: выходной;",
Юнифарм ООО Аптека N19,"Солигорск, пр-т Мира, 34, маг. Радуга",(044) 5071519,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Гродненское РУП Фармация Аптека N26,"Зельва, д. Деречин, ул. Гастелло, 25",(01564)  31238,"выходной, пн.; 08.00-16.00, вт.; выходной, ср.; 08.00-16.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
АльфаАптека Аптека N17 ЗАО Компания Интерфарм,"Витебск, пр-т Московский, 8",(0212) 220626,"08.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: последнее воскресенье каждого месяца с 16:00 до 18:00;",
Могилевское РУП Фармация Аптека N60,"Могилев, ул. Бялыницкого-Бирули, 9",(0222) 706327,"08.00-16.20, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:20;                                             Праздничные дни: выходной;",
Медицинский магазин N3 Польза,"Минск-Московский, ул. Рафиева, 64, пав. 26, 2 этаж",(017) 3997058,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Гомельское УП Фармация Аптека N209/4,"Гомель, ул. Ильича, 331",(0232) 295860,"08.30-20.00, пн.–пт.; 08.30-20.00, сб.; 08.30-20.00, вс.; Обеденный перерыв с 13.30 до 14.00",
АльфаАптека Аптека N5 ГаленаФарм ООО,"Пинск, д. Пинковичи, ул. Лунинецкая, 182",(0165) 673385,"10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первая среда месяца с 10.00 до 12.00;",
Могилевское РУП Фармация Аптека N181,"Круглое, г. Круглое, ул. Советская, 83",(02234) 72155,"выходной, пн.; 10.00-19.00, вт.; 10.00-19.00, ср.; 10.00-19.00, чт.; 10.00-19.00, пт.; 10.00-19.00, сб.; выходной, вс.; Перерыв: 14:00-15:00; Праздничные дни: выходной;",
АльфаАптека Аптека N9 ОДО Меджел,"Борисов, ул. Романовская, 2",(0177) 786521,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 11.00;",
Могилевское РУП Фармация Аптека N174,"Славгород, ул. Калинина, 27",(02246) 78332,"08.00-17.20, пн.; 08.00-18.00, вт.; 08.00-18.00, ср.; 08.00-18.00, чт.; 08.00-18.00, пт.; 08.00-14.00, сб.; выходной, вс.; Перерыв в понедельник: 13:00-13:20; 
Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N80,"Пинск, г.п. Логишин, ул. Томилова, 69",(0165) 685896,"09.00-18.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Перерыв: 13.00-14.00; Праздничные дни: выходной;",
АльфаАптека Аптека N11 Беллерофон ООО,"Бобруйск, ул. Интернациональная, 22, магазин Санта",(0225) 734920,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: третье воскресенье каждого месяца с 9:00 до 11:00;",
Зялёная крама Торговый объект N798 ООО Ирина-Фарм,"Брест, ул. Московская, 273В, ТЦ Корона",7822 -А1+mts,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Гомельское УП Фармация Аптека N53/3,"Речица, ул. Карла Маркса, 21",(02340) 39466,"08.30-19.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:30-13:00;",
Зялёная крама Торговый объект N48 ООО Ирина-Фарм,"Минск-Московский, ул. Яна Чечота, 2А, 6-я детская пол-ка",7822 - А1+mts,"08.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Ледафарммед ООО Аптека N7,"Лида, ул. 17 Верасня, 9-23",(044) 5841599,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-18.00, вс.",
Добрыя Леки Аптека N57 ООО Аптека групп Центр,"Слуцк, ул. 14 Партизан, 15/1",моб. 5355757,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Лигматон ООО Аптека N11,"Минск-Октябрьский, ул. Корженевского, 26, ТЦ Корона-Курасовщина",(017) 2341446,"09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00",
Добрыя Леки Аптека N22 ЗАО Аптека групп Север,"Поставы, ул. Космонавтов, 16Б",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Наша аптека N4 Аптечное дело ООО,"Минск-Заводской, пр-т Партизанский, 40-1Н, маг. Алми",(017) 3376941,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 11.00-20.00, вс.",
Добрыя леки Аптека N23 ООО Аптека групп Запад,"Гродно, ул. Свердлова, 16-22",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Итера-Мед ООО Аптека N3,"Минск-Центральный, Старовиленский тр-т, 26, к. 1",(017) 3511590,"08.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Добрыя Леки Аптека N30 ООО Аптека групп Запад,"Барановичи, ул. Притыцкого, 126, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Искамед ООО Аптека N125,"Минск-Фрунзенский, ул. Петра Глебки, 5-3, ТЦ Скала, пом. 3-5",(017) 3990628,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Гомельское УП Фармация Аптека N67,"Калинковичи, аг. Юровичи, ул. Почтовая, 4",(02345) 37714,"08.30-16.00, пн.–пт.; 09.00-14.30, сб.; выходной, вс.; Перерыв: 13:00-13:30;",
Брестское РУП Фармация Пружанская ЦРА N7,"Пружаны, ул. Октябрьская, 60-49",(01632) 41449,"08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9.00 - 17.00;",
Брестское РУП Фармация Аптека N59,"Ляховичи, д. Кривошин, ул. Советская, 43А, в здании больницы",(01633) 51373,"09.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13.00 - 14.00;
Праздничные дни: выходной;",
